chunking_strategy,retrieval_method,k,trial,query_id,query_type,recall_at_k,mrr,ndcg_at_k,hit_at_k,faithfulness,answer_correctness,context_precision,table_integrity,citation_validity,query_latency_ms,query_cost_usd
fixed_size,dense,1,1,q_0010,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,188.51600000016333,0.0
fixed_size,dense,3,1,q_0010,lore,1.0,1.0,0.9197207891481876,1.0,0.0,0.0,0.0,0.0,0.0,188.51600000016333,0.0
fixed_size,dense,5,1,q_0010,lore,1.0,1.0,0.9197207891481876,1.0,0.0,0.0,0.0,0.0,0.0,188.51600000016333,0.0
fixed_size,dense,10,1,q_0010,lore,1.0,1.0,0.9197207891481876,1.0,0.0,0.0,0.0,0.0,0.0,188.51600000016333,0.0
fixed_size,dense,20,1,q_0010,lore,1.0,1.0,0.9197207891481876,1.0,0.0,0.0,0.0,0.0,0.0,188.51600000016333,0.0
fixed_size,dense,1,1,q_0011,lore,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.39520000072662,0.0
fixed_size,dense,3,1,q_0011,lore,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.39520000072662,0.0
fixed_size,dense,5,1,q_0011,lore,1.0,0.25,0.43067655807339306,1.0,0.0,0.0,0.0,0.0,0.0,179.39520000072662,0.0
fixed_size,dense,10,1,q_0011,lore,1.0,0.25,0.43067655807339306,1.0,0.0,0.0,0.0,0.0,0.0,179.39520000072662,0.0
fixed_size,dense,20,1,q_0011,lore,1.0,0.25,0.43067655807339306,1.0,0.0,0.0,0.0,0.0,0.0,179.39520000072662,0.0
fixed_size,dense,1,1,q_0012,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,244.52060000112397,0.0
fixed_size,dense,3,1,q_0012,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,244.52060000112397,0.0
fixed_size,dense,5,1,q_0012,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,244.52060000112397,0.0
fixed_size,dense,10,1,q_0012,lore,1.0,1.0,0.7977228895450266,1.0,0.0,0.0,0.0,0.0,0.0,244.52060000112397,0.0
fixed_size,dense,20,1,q_0012,lore,1.0,1.0,0.6957733170640094,1.0,0.0,0.0,0.0,0.0,0.0,244.52060000112397,0.0
fixed_size,dense,1,1,q_0013,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,195.77580000077432,0.0
fixed_size,dense,3,1,q_0013,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,195.77580000077432,0.0
fixed_size,dense,5,1,q_0013,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,195.77580000077432,0.0
fixed_size,dense,10,1,q_0013,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,195.77580000077432,0.0
fixed_size,dense,20,1,q_0013,lore,1.0,1.0,0.836810589849079,1.0,0.0,0.0,0.0,0.0,0.0,195.77580000077432,0.0
fixed_size,dense,1,1,q_0014,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,214.57120000013674,0.0
fixed_size,dense,3,1,q_0014,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,214.57120000013674,0.0
fixed_size,dense,5,1,q_0014,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,214.57120000013674,0.0
fixed_size,dense,10,1,q_0014,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,214.57120000013674,0.0
fixed_size,dense,20,1,q_0014,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,214.57120000013674,0.0
fixed_size,dense,1,1,q_0016,lore,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.452600000237,0.0
fixed_size,dense,3,1,q_0016,lore,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.452600000237,0.0
fixed_size,dense,5,1,q_0016,lore,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.452600000237,0.0
fixed_size,dense,10,1,q_0016,lore,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.452600000237,0.0
fixed_size,dense,20,1,q_0016,lore,1.0,0.07692307692307693,0.26264953503719357,1.0,0.0,0.0,0.0,0.0,0.0,183.452600000237,0.0
fixed_size,dense,1,1,q_0017,lore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0932999992365,0.0
fixed_size,dense,3,1,q_0017,lore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0932999992365,0.0
fixed_size,dense,5,1,q_0017,lore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0932999992365,0.0
fixed_size,dense,10,1,q_0017,lore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0932999992365,0.0
fixed_size,dense,20,1,q_0017,lore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0932999992365,0.0
fixed_size,dense,1,1,q_0018,lore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.5627000008535,0.0
fixed_size,dense,3,1,q_0018,lore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.5627000008535,0.0
fixed_size,dense,5,1,q_0018,lore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.5627000008535,0.0
fixed_size,dense,10,1,q_0018,lore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.5627000008535,0.0
fixed_size,dense,20,1,q_0018,lore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.5627000008535,0.0
fixed_size,dense,1,1,q_0019,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,211.78760000111652,0.0
fixed_size,dense,3,1,q_0019,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,211.78760000111652,0.0
fixed_size,dense,5,1,q_0019,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,211.78760000111652,0.0
fixed_size,dense,10,1,q_0019,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,211.78760000111652,0.0
fixed_size,dense,20,1,q_0019,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,211.78760000111652,0.0
fixed_size,dense,1,1,q_0020,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,186.30059999850346,0.0
fixed_size,dense,3,1,q_0020,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,186.30059999850346,0.0
fixed_size,dense,5,1,q_0020,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,186.30059999850346,0.0
fixed_size,dense,10,1,q_0020,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,186.30059999850346,0.0
fixed_size,dense,20,1,q_0020,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,186.30059999850346,0.0
fixed_size,dense,1,1,q_0021,lore,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.67289999924833,0.0
fixed_size,dense,3,1,q_0021,lore,1.0,0.5,0.6309297535714575,1.0,0.0,0.0,0.0,0.0,0.0,221.67289999924833,0.0
fixed_size,dense,5,1,q_0021,lore,1.0,0.5,0.6309297535714575,1.0,0.0,0.0,0.0,0.0,0.0,221.67289999924833,0.0
fixed_size,dense,10,1,q_0021,lore,1.0,0.5,0.6309297535714575,1.0,0.0,0.0,0.0,0.0,0.0,221.67289999924833,0.0
fixed_size,dense,20,1,q_0021,lore,1.0,0.5,0.6309297535714575,1.0,0.0,0.0,0.0,0.0,0.0,221.67289999924833,0.0
fixed_size,dense,1,1,q_0022,lore,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.76190000063798,0.0
fixed_size,dense,3,1,q_0022,lore,1.0,0.5,0.6309297535714575,1.0,0.0,0.0,0.0,0.0,0.0,196.76190000063798,0.0
fixed_size,dense,5,1,q_0022,lore,1.0,0.5,0.6797310500037655,1.0,0.0,0.0,0.0,0.0,0.0,196.76190000063798,0.0
fixed_size,dense,10,1,q_0022,lore,1.0,0.5,0.6955762265703532,1.0,0.0,0.0,0.0,0.0,0.0,196.76190000063798,0.0
fixed_size,dense,20,1,q_0022,lore,1.0,0.5,0.6961417461113779,1.0,0.0,0.0,0.0,0.0,0.0,196.76190000063798,0.0
fixed_size,dense,1,1,q_0023,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,247.44420000024547,0.0
fixed_size,dense,3,1,q_0023,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,247.44420000024547,0.0
fixed_size,dense,5,1,q_0023,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,247.44420000024547,0.0
fixed_size,dense,10,1,q_0023,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,247.44420000024547,0.0
fixed_size,dense,20,1,q_0023,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,247.44420000024547,0.0
fixed_size,dense,1,1,q_0024,lore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.6065999990824,0.0
fixed_size,dense,3,1,q_0024,lore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.6065999990824,0.0
fixed_size,dense,5,1,q_0024,lore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.6065999990824,0.0
fixed_size,dense,10,1,q_0024,lore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.6065999990824,0.0
fixed_size,dense,20,1,q_0024,lore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.6065999990824,0.0
fixed_size,dense,1,1,q_0025,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,236.71609999837528,0.0
fixed_size,dense,3,1,q_0025,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,236.71609999837528,0.0
fixed_size,dense,5,1,q_0025,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,236.71609999837528,0.0
fixed_size,dense,10,1,q_0025,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,236.71609999837528,0.0
fixed_size,dense,20,1,q_0025,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,236.71609999837528,0.0
fixed_size,dense,1,1,q_0026,lore,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.27369999988878,0.0
fixed_size,dense,3,1,q_0026,lore,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.27369999988878,0.0
fixed_size,dense,5,1,q_0026,lore,1.0,0.2,0.38685280723454163,1.0,0.0,0.0,0.0,0.0,0.0,225.27369999988878,0.0
fixed_size,dense,10,1,q_0026,lore,1.0,0.2,0.38685280723454163,1.0,0.0,0.0,0.0,0.0,0.0,225.27369999988878,0.0
fixed_size,dense,20,1,q_0026,lore,1.0,0.2,0.38685280723454163,1.0,0.0,0.0,0.0,0.0,0.0,225.27369999988878,0.0
fixed_size,dense,1,1,q_0027,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,190.4324999995879,0.0
fixed_size,dense,3,1,q_0027,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,190.4324999995879,0.0
fixed_size,dense,5,1,q_0027,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,190.4324999995879,0.0
fixed_size,dense,10,1,q_0027,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,190.4324999995879,0.0
fixed_size,dense,20,1,q_0027,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,190.4324999995879,0.0
fixed_size,dense,1,1,q_0028,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,208.22229999976116,0.0
fixed_size,dense,3,1,q_0028,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,208.22229999976116,0.0
fixed_size,dense,5,1,q_0028,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,208.22229999976116,0.0
fixed_size,dense,10,1,q_0028,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,208.22229999976116,0.0
fixed_size,dense,20,1,q_0028,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,208.22229999976116,0.0
fixed_size,dense,1,1,q_0029,mechanical,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.6387999993167,0.0
fixed_size,dense,3,1,q_0029,mechanical,1.0,0.5,0.6309297535714575,1.0,0.0,0.0,0.0,0.0,0.0,228.6387999993167,0.0
fixed_size,dense,5,1,q_0029,mechanical,1.0,0.5,0.6309297535714575,1.0,0.0,0.0,0.0,0.0,0.0,228.6387999993167,0.0
fixed_size,dense,10,1,q_0029,mechanical,1.0,0.5,0.6309297535714575,1.0,0.0,0.0,0.0,0.0,0.0,228.6387999993167,0.0
fixed_size,dense,20,1,q_0029,mechanical,1.0,0.5,0.6309297535714575,1.0,0.0,0.0,0.0,0.0,0.0,228.6387999993167,0.0
fixed_size,dense,1,1,q_0030,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,196.83190000068862,0.0
fixed_size,dense,3,1,q_0030,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,196.83190000068862,0.0
fixed_size,dense,5,1,q_0030,mechanical,1.0,1.0,0.8529278650606567,1.0,0.0,0.0,0.0,0.0,0.0,196.83190000068862,0.0
fixed_size,dense,10,1,q_0030,mechanical,1.0,1.0,0.8464256614820587,1.0,0.0,0.0,0.0,0.0,0.0,196.83190000068862,0.0
fixed_size,dense,20,1,q_0030,mechanical,1.0,1.0,0.8436282309871486,1.0,0.0,0.0,0.0,0.0,0.0,196.83190000068862,0.0
fixed_size,dense,1,1,q_0031,mechanical,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.28040000022156,0.0
fixed_size,dense,3,1,q_0031,mechanical,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.28040000022156,0.0
fixed_size,dense,5,1,q_0031,mechanical,1.0,0.25,0.43067655807339306,1.0,0.0,0.0,0.0,0.0,0.0,253.28040000022156,0.0
fixed_size,dense,10,1,q_0031,mechanical,1.0,0.25,0.43067655807339306,1.0,0.0,0.0,0.0,0.0,0.0,253.28040000022156,0.0
fixed_size,dense,20,1,q_0031,mechanical,1.0,0.25,0.43067655807339306,1.0,0.0,0.0,0.0,0.0,0.0,253.28040000022156,0.0
fixed_size,dense,1,1,q_0032,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,184.65009999999893,0.0
fixed_size,dense,3,1,q_0032,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,184.65009999999893,0.0
fixed_size,dense,5,1,q_0032,mechanical,1.0,1.0,0.8772153153380493,1.0,0.0,0.0,0.0,0.0,0.0,184.65009999999893,0.0
fixed_size,dense,10,1,q_0032,mechanical,1.0,1.0,0.8772153153380493,1.0,0.0,0.0,0.0,0.0,0.0,184.65009999999893,0.0
fixed_size,dense,20,1,q_0032,mechanical,1.0,1.0,0.8772153153380493,1.0,0.0,0.0,0.0,0.0,0.0,184.65009999999893,0.0
fixed_size,dense,1,1,q_0033,mechanical,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.01230000106443,0.0
fixed_size,dense,3,1,q_0033,mechanical,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,0.0,0.0,0.0,233.01230000106443,0.0
fixed_size,dense,5,1,q_0033,mechanical,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,0.0,0.0,0.0,233.01230000106443,0.0
fixed_size,dense,10,1,q_0033,mechanical,1.0,0.3333333333333333,0.6125353345843497,1.0,0.0,0.0,0.0,0.0,0.0,233.01230000106443,0.0
fixed_size,dense,20,1,q_0033,mechanical,1.0,0.3333333333333333,0.6595775386491995,1.0,0.0,0.0,0.0,0.0,0.0,233.01230000106443,0.0
fixed_size,dense,1,1,q_0034,mechanical,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.9547000000166,0.0
fixed_size,dense,3,1,q_0034,mechanical,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.9547000000166,0.0
fixed_size,dense,5,1,q_0034,mechanical,1.0,0.2,0.38685280723454163,1.0,0.0,0.0,0.0,0.0,0.0,219.9547000000166,0.0
fixed_size,dense,10,1,q_0034,mechanical,1.0,0.2,0.4843542209360027,1.0,0.0,0.0,0.0,0.0,0.0,219.9547000000166,0.0
fixed_size,dense,20,1,q_0034,mechanical,1.0,0.2,0.49179886215554686,1.0,0.0,0.0,0.0,0.0,0.0,219.9547000000166,0.0
fixed_size,dense,1,1,q_0035,mechanical,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.86270000156946,0.0
fixed_size,dense,3,1,q_0035,mechanical,1.0,0.5,0.6934264036172708,1.0,0.0,0.0,0.0,0.0,0.0,192.86270000156946,0.0
fixed_size,dense,5,1,q_0035,mechanical,1.0,0.5,0.6934264036172708,1.0,0.0,0.0,0.0,0.0,0.0,192.86270000156946,0.0
fixed_size,dense,10,1,q_0035,mechanical,1.0,0.5,0.6663732474096913,1.0,0.0,0.0,0.0,0.0,0.0,192.86270000156946,0.0
fixed_size,dense,20,1,q_0035,mechanical,1.0,0.5,0.6663732474096913,1.0,0.0,0.0,0.0,0.0,0.0,192.86270000156946,0.0
fixed_size,dense,1,1,q_0036,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2921.4209000001574,0.0
fixed_size,dense,3,1,q_0036,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2921.4209000001574,0.0
fixed_size,dense,5,1,q_0036,mechanical,1.0,1.0,0.8772153153380493,1.0,0.0,0.0,0.0,0.0,0.0,2921.4209000001574,0.0
fixed_size,dense,10,1,q_0036,mechanical,1.0,1.0,0.8772153153380493,1.0,0.0,0.0,0.0,0.0,0.0,2921.4209000001574,0.0
fixed_size,dense,20,1,q_0036,mechanical,1.0,1.0,0.7946419117160276,1.0,0.0,0.0,0.0,0.0,0.0,2921.4209000001574,0.0
fixed_size,dense,1,1,q_0037,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,181.0512000010931,0.0
fixed_size,dense,3,1,q_0037,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,181.0512000010931,0.0
fixed_size,dense,5,1,q_0037,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,181.0512000010931,0.0
fixed_size,dense,10,1,q_0037,mechanical,1.0,1.0,0.9613085758737654,1.0,0.0,0.0,0.0,0.0,0.0,181.0512000010931,0.0
fixed_size,dense,20,1,q_0037,mechanical,1.0,1.0,0.9389268044226627,1.0,0.0,0.0,0.0,0.0,0.0,181.0512000010931,0.0
fixed_size,dense,1,1,q_0038,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,317.42970000050263,0.0
fixed_size,dense,3,1,q_0038,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,317.42970000050263,0.0
fixed_size,dense,5,1,q_0038,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,317.42970000050263,0.0
fixed_size,dense,10,1,q_0038,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,317.42970000050263,0.0
fixed_size,dense,20,1,q_0038,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,317.42970000050263,0.0
fixed_size,dense,1,1,q_0039,mechanical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.97330000036163,0.0
fixed_size,dense,3,1,q_0039,mechanical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.97330000036163,0.0
fixed_size,dense,5,1,q_0039,mechanical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.97330000036163,0.0
fixed_size,dense,10,1,q_0039,mechanical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.97330000036163,0.0
fixed_size,dense,20,1,q_0039,mechanical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.97330000036163,0.0
fixed_size,dense,1,1,q_0040,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,192.56139999924926,0.0
fixed_size,dense,3,1,q_0040,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,192.56139999924926,0.0
fixed_size,dense,5,1,q_0040,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,192.56139999924926,0.0
fixed_size,dense,10,1,q_0040,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,192.56139999924926,0.0
fixed_size,dense,20,1,q_0040,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,192.56139999924926,0.0
fixed_size,dense,1,1,q_0041,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,250.06240000038815,0.0
fixed_size,dense,3,1,q_0041,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,250.06240000038815,0.0
fixed_size,dense,5,1,q_0041,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,250.06240000038815,0.0
fixed_size,dense,10,1,q_0041,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,250.06240000038815,0.0
fixed_size,dense,20,1,q_0041,mechanical,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,250.06240000038815,0.0
fixed_size,dense,1,1,q_0042,mechanical,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.7321000011434,0.0
fixed_size,dense,3,1,q_0042,mechanical,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.7321000011434,0.0
